Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
81,01-01-2017,1281362019696566,1,vegetarian curry + king trumpet mushroom ramen
82,01-01-2017,1281362019696566,1,vegetarian curry + king trumpet mushroom ramen
83,01-01-2017,950235735167509,1,soft-shell miso crab ramen
84,01-01-2017,950235735167509,1,soft-shell miso crab ramen
85,01-01-2017,5025536997924905,1,vegetarian curry + king trumpet mushroom ramen
86,01-01-2017,5025536997924905,1,vegetarian curry + king trumpet mushroom ramen
87,01-01-2017,4631284733621257,1,nagomi shoyu
88,01-01-2017,4631284733621257,1,nagomi shoyu
89,01-01-2017,1976622995895076,2,spicy miso ramen
90,01-01-2017,1976622995895076,2,spicy miso ramen
91,01-01-2017,6660357715807920,3,tori paitan ramen
92,01-01-2017,6660357715807920,3,tori paitan ramen
93,01-01-2017,948595369306196,2,vegetarian spicy miso
94,01-01-2017,948595369306196,2,vegetarian spicy miso
95,01-01-2017,1349941690682436,1,burnt garlic tonkotsu ramen
96,01-01-2017,1349941690682436,1,burnt garlic tonkotsu ramen
97,01-01-2017,3532635470952433,1,truffle butter ramen
98,01-01-2017,3532635470952433,1,truffle butter ramen
99,01-01-2017,3433399027199272,1,miso crab ramen
100,01-01-2017,3433399027199272,1,miso crab ramen
101,01-01-2017,550071618421447,1,vegetarian spicy miso
102,01-01-2017,550071618421447,1,vegetarian spicy miso
103,01-01-2017,9719394832585618,2,spicy miso ramen
104,01-01-2017,9719394832585618,2,spicy miso ramen
105,01-01-2017,4401451842217897,1,burnt garlic tonkotsu ramen
106,01-01-2017,4401451842217897,1,burnt garlic tonkotsu ramen
107,01-01-2017,6251375471664066,1,spicy miso ramen
108,01-01-2017,6251375471664066,1,spicy miso ramen
109,01-01-2017,8460319316151006,2,soft-shell miso crab ramen
110,01-01-2017,8460319316151006,2,soft-shell miso crab ramen
111,01-02-2017,7329559258217809,1,truffle butter ramen
112,01-02-2017,7329559258217809,1,truffle butter ramen
113,01-02-2017,7055419383407895,1,nagomi shoyu
114,01-02-2017,7055419383407895,1,nagomi shoyu
115,01-02-2017,3890346446611658,1,miso crab ramen
116,01-02-2017,3890346446611658,1,miso crab ramen
117,01-02-2017,6292279686170724,3,tonkotsu ramen
118,01-02-2017,6292279686170724,3,tonkotsu ramen
119,01-02-2017,5257453518795485,1,vegetarian curry + king trumpet mushroom ramen
120,01-02-2017,5257453518795485,1,vegetarian curry + king trumpet mushroom ramen
121,01-02-2017,5184677408160170,1,vegetarian curry + king trumpet mushroom ramen
122,01-02-2017,5184677408160170,1,vegetarian curry + king trumpet mushroom ramen
123,01-02-2017,2295377556544008,1,nagomi shoyu
124,01-02-2017,2295377556544008,1,nagomi shoyu
125,01-02-2017,5144761652348210,1,tonkotsu ramen
126,01-02-2017,5144761652348210,1,tonkotsu ramen
127,01-02-2017,9859330503417126,1,soft-shell miso crab ramen
128,01-02-2017,9859330503417126,1,soft-shell miso crab ramen
129,01-02-2017,8511372803868123,1,burnt garlic tonkotsu ramen
130,01-02-2017,8511372803868123,1,burnt garlic tonkotsu ramen
131,01-02-2017,1180506043760041,1,miso crab ramen
132,01-02-2017,1180506043760041,1,miso crab ramen
133,01-02-2017,2831399897696963,2,tori paitan ramen
134,01-02-2017,2831399897696963,2,tori paitan ramen
135,01-02-2017,4657400501228740,1,tori paitan ramen
136,01-02-2017,4657400501228740,1,tori paitan ramen
137,01-02-2017,9666174426348088,1,tori paitan ramen
138,01-02-2017,9666174426348088,1,tori paitan ramen
139,01-02-2017,9541203282514272,1,miso crab ramen
140,01-02-2017,9541203282514272,1,miso crab ramen
141,01-02-2017,1195883250261520,1,nagomi shoyu
142,01-02-2017,1195883250261520,1,nagomi shoyu
143,01-02-2017,285699135734172,1,tori paitan ramen
144,01-02-2017,285699135734172,1,tori paitan ramen
145,01-02-2017,371016867793220,1,shio ramen
146,01-02-2017,371016867793220,1,shio ramen
147,01-02-2017,5933138074821031,1,vegetarian curry + king trumpet mushroom ramen
148,01-02-2017,5933138074821031,1,vegetarian curry + king trumpet mushroom ramen
149,01-02-2017,6436919249018203,1,vegetarian spicy miso
150,01-02-2017,6436919249018203,1,vegetarian spicy miso
151,01-02-2017,1029373915662484,2,truffle butter ramen
152,01-02-2017,1029373915662484,2,truffle butter ramen
153,01-02-2017,1505411682726648,3,miso crab ramen
154,01-02-2017,1505411682726648,3,miso crab ramen
155,01-02-2017,8511589323661404,1,tonkotsu ramen
156,01-02-2017,8511589323661404,1,tonkotsu ramen
157,01-02-2017,7587069625061672,1,tonkotsu ramen
158,01-02-2017,7587069625061672,1,tonkotsu ramen
159,01-02-2017,9712079492031705,1,nagomi shoyu
160,01-02-2017,9712079492031705,1,nagomi shoyu
161,01-02-2017,5131880052005341,3,miso crab ramen
162,01-02-2017,5131880052005341,3,miso crab ramen
163,01-02-2017,3977136983417657,1,tori paitan ramen
164,01-02-2017,3977136983417657,1,tori paitan ramen
165,01-02-2017,2627270696783825,1,tori paitan ramen
166,01-02-2017,2627270696783825,1,tori paitan ramen
167,01-02-2017,8077306948057797,2,spicy miso ramen
168,01-02-2017,8077306948057797,2,spicy miso ramen
169,01-02-2017,8953903778105237,3,shio ramen
170,01-02-2017,8953903778105237,3,shio ramen
171,01-02-2017,9323982518365028,1,truffle butter ramen
172,01-02-2017,9323982518365028,1,truffle butter ramen
173,01-02-2017,5516707821843741,1,burnt garlic tonkotsu ramen
174,01-02-2017,5516707821843741,1,burnt garlic tonkotsu ramen
175,01-02-2017,622722672412331,1,spicy miso ramen
176,01-02-2017,622722672412331,1,spicy miso ramen
177,01-02-2017,5632758228843133,1,shio ramen
178,01-02-2017,5632758228843133,1,shio ramen
179,01-02-2017,798944112338798,1,burnt garlic tonkotsu ramen
180,01-02-2017,798944112338798,1,burnt garlic tonkotsu ramen
181,01-03-2017,8335558833791775,1,tonkotsu ramen
182,01-03-2017,8335558833791775,1,tonkotsu ramen
183,01-03-2017,3465405943563064,1,tori paitan ramen
184,01-03-2017,3465405943563064,1,tori paitan ramen
185,01-03-2017,9425106135518576,1,soft-shell miso crab ramen
186,01-03-2017,9425106135518576,1,soft-shell miso crab ramen
187,01-03-2017,7852932176782928,1,vegetarian curry + king trumpet mushroom ramen
188,01-03-2017,7852932176782928,1,vegetarian curry + king trumpet mushroom ramen
189,01-03-2017,8571136080648509,1,truffle butter ramen
190,01-03-2017,8571136080648509,1,truffle butter ramen
191,01-03-2017,3860004256957547,2,shio ramen
192,01-03-2017,3860004256957547,2,shio ramen
193,01-03-2017,4637524521565639,1,soft-shell miso crab ramen
194,01-03-2017,4637524521565639,1,soft-shell miso crab ramen
195,01-03-2017,1033432992383644,1,tonkotsu ramen
196,01-03-2017,1033432992383644,1,tonkotsu ramen
197,01-03-2017,3614877212009068,1,spicy miso ramen
198,01-03-2017,3614877212009068,1,spicy miso ramen
199,01-03-2017,2682704652278459,4,vegetarian spicy miso
200,01-03-2017,2682704652278459,4,vegetarian spicy miso
201,01-03-2017,7212808781999401,1,shio ramen
202,01-03-2017,7212808781999401,1,shio ramen
203,01-03-2017,1857467747395103,1,vegetarian spicy miso
204,01-03-2017,1857467747395103,1,vegetarian spicy miso
205,01-03-2017,82342544900300,1,tonkotsu ramen
206,01-03-2017,82342544900300,1,tonkotsu ramen
207,01-03-2017,2317227581667545,1,miso crab ramen
208,01-03-2017,2317227581667545,1,miso crab ramen
209,01-04-2017,4516464396317653,1,miso crab ramen
210,01-04-2017,4516464396317653,1,miso crab ramen
211,01-04-2017,3932354155543122,3,miso crab ramen
212,01-04-2017,3932354155543122,3,miso crab ramen
213,01-04-2017,4872930384721559,1,soft-shell miso crab ramen
214,01-04-2017,4872930384721559,1,soft-shell miso crab ramen
215,01-04-2017,5217653125845438,1,soft-shell miso crab ramen
216,01-04-2017,5217653125845438,1,soft-shell miso crab ramen
217,01-04-2017,4468493360391374,1,tori paitan ramen
218,01-04-2017,4468493360391374,1,tori paitan ramen
219,01-04-2017,3179735870100245,1,tori paitan ramen
220,01-04-2017,3179735870100245,1,tori paitan ramen
221,01-04-2017,3687703100514962,1,vegetarian curry + king trumpet mushroom ramen
222,01-04-2017,3687703100514962,1,vegetarian curry + king trumpet mushroom ramen
223,01-04-2017,3800828519431893,1,miso crab ramen
224,01-04-2017,3800828519431893,1,miso crab ramen
225,01-04-2017,6257694510327661,4,tori paitan ramen
226,01-04-2017,6257694510327661,4,tori paitan ramen
227,01-04-2017,6598501470852539,1,miso crab ramen
228,01-04-2017,6598501470852539,1,miso crab ramen
229,01-04-2017,3437083105273505,1,miso crab ramen
230,01-04-2017,3437083105273505,1,miso crab ramen
231,01-04-2017,108468914453850,1,spicy miso ramen
232,01-04-2017,108468914453850,1,spicy miso ramen
233,01-04-2017,2893834907368437,1,tori paitan ramen
234,01-04-2017,2893834907368437,1,tori paitan ramen
235,01-04-2017,1554048193553064,1,soft-shell miso crab ramen
236,01-04-2017,1554048193553064,1,soft-shell miso crab ramen
237,01-04-2017,909941560314869,1,shio ramen
238,01-04-2017,909941560314869,1,shio ramen
239,01-04-2017,7798129105429075,1,burnt garlic tonkotsu ramen
240,01-04-2017,7798129105429075,1,burnt garlic tonkotsu ramen
241,01-04-2017,2770993137249180,1,nagomi shoyu
242,01-04-2017,2770993137249180,1,nagomi shoyu
243,01-04-2017,3653009153145754,1,tonkotsu ramen
244,01-04-2017,3653009153145754,1,tonkotsu ramen
245,01-04-2017,8425862229058643,2,vegetarian curry + king trumpet mushroom ramen
246,01-04-2017,8425862229058643,2,vegetarian curry + king trumpet mushroom ramen
247,01-04-2017,5131600179697831,1,shio ramen
248,01-04-2017,5131600179697831,1,shio ramen
249,01-04-2017,7593331397241508,2,nagomi shoyu
250,01-04-2017,7593331397241508,2,nagomi shoyu
251,01-04-2017,8563009176983351,1,tonkotsu ramen
252,01-04-2017,8563009176983351,1,tonkotsu ramen
253,01-04-2017,1533460439706723,1,burnt garlic tonkotsu ramen
254,01-04-2017,1533460439706723,1,burnt garlic tonkotsu ramen
255,01-05-2017,8713561420168358,1,soft-shell miso crab ramen
256,01-05-2017,8713561420168358,1,soft-shell miso crab ramen
257,01-05-2017,4298603332272993,1,vegetarian curry + king trumpet mushroom ramen
258,01-05-2017,4298603332272993,1,vegetarian curry + king trumpet mushroom ramen
259,01-05-2017,7549086465525384,3,miso crab ramen
260,01-05-2017,7549086465525384,3,miso crab ramen
261,01-05-2017,5070888736884970,1,burnt garlic tonkotsu ramen
262,01-05-2017,5070888736884970,1,burnt garlic tonkotsu ramen
263,01-05-2017,139680983586248,1,truffle butter ramen
264,01-05-2017,139680983586248,1,truffle butter ramen
265,01-05-2017,8607006798802252,1,spicy miso ramen
266,01-05-2017,8607006798802252,1,spicy miso ramen
267,01-05-2017,9243294973635389,1,shio ramen
268,01-05-2017,9243294973635389,1,shio ramen
269,01-05-2017,8720612813450277,1,vegetarian spicy miso
270,01-05-2017,8720612813450277,1,vegetarian spicy miso
271,01-05-2017,7248088620797072,1,vegetarian curry + king trumpet mushroom ramen
272,01-05-2017,7248088620797072,1,vegetarian curry + king trumpet mushroom ramen
273,01-05-2017,1359071904375269,1,vegetarian curry + king trumpet mushroom ramen
274,01-05-2017,1359071904375269,1,vegetarian curry + king trumpet mushroom ramen
275,01-05-2017,3084507767671051,3,spicy miso ramen
276,01-05-2017,3084507767671051,3,spicy miso ramen
277,01-05-2017,1524225126033271,1,vegetarian spicy miso
278,01-05-2017,1524225126033271,1,vegetarian spicy miso
279,01-05-2017,6111078816193771,1,vegetarian spicy miso
280,01-05-2017,6111078816193771,1,vegetarian spicy miso
281,01-05-2017,4722213070986759,1,shio ramen
282,01-05-2017,4722213070986759,1,shio ramen
283,01-05-2017,180666807314521,1,soft-shell miso crab ramen
284,01-05-2017,180666807314521,1,soft-shell miso crab ramen
285,01-05-2017,9860862555143989,1,nagomi shoyu
286,01-05-2017,9860862555143989,1,nagomi shoyu
287,01-05-2017,1246076742595884,1,nagomi shoyu
288,01-05-2017,1246076742595884,1,nagomi shoyu
289,01-05-2017,7154091555963092,1,tonkotsu ramen
290,01-05-2017,7154091555963092,1,tonkotsu ramen
291,01-05-2017,3740076358798040,1,nagomi shoyu
292,01-05-2017,3740076358798040,1,nagomi shoyu
293,01-05-2017,2978384446374401,1,soft-shell miso crab ramen
294,01-05-2017,2978384446374401,1,soft-shell miso crab ramen
295,01-05-2017,2255030059625914,1,spicy miso ramen
296,01-05-2017,2255030059625914,1,spicy miso ramen
297,01-05-2017,5364513258713969,2,tonkotsu ramen
298,01-05-2017,5364513258713969,2,tonkotsu ramen
299,01-05-2017,9431053488535313,2,shio ramen
300,01-05-2017,9431053488535313,2,shio ramen
301,01-05-2017,2260988959757299,2,burnt garlic tonkotsu ramen
302,01-05-2017,2260988959757299,2,burnt garlic tonkotsu ramen
303,01-05-2017,4675489361336079,1,burnt garlic tonkotsu ramen
304,01-05-2017,4675489361336079,1,burnt garlic tonkotsu ramen
305,01-05-2017,1532881077672623,1,soft-shell miso crab ramen
306,01-05-2017,1532881077672623,1,soft-shell miso crab ramen
307,01-05-2017,541351525907139,2,vegetarian spicy miso
308,01-05-2017,541351525907139,2,vegetarian spicy miso
309,01-05-2017,5240079067689930,1,vegetarian curry + king trumpet mushroom ramen
310,01-05-2017,5240079067689930,1,vegetarian curry + king trumpet mushroom ramen
311,01-05-2017,768977247897635,1,shio ramen
312,01-05-2017,768977247897635,1,shio ramen
313,01-05-2017,7635435493305117,2,truffle butter ramen
314,01-05-2017,7635435493305117,2,truffle butter ramen
315,01-05-2017,6386979575604739,1,tonkotsu ramen
316,01-05-2017,6386979575604739,1,tonkotsu ramen
317,01-05-2017,2654663617715158,1,vegetarian curry + king trumpet mushroom ramen
318,01-05-2017,2654663617715158,1,vegetarian curry + king trumpet mushroom ramen
319,01-05-2017,9203605141988300,1,tonkotsu ramen
320,01-05-2017,9203605141988300,1,tonkotsu ramen
321,01-05-2017,3551107063769063,1,burnt garlic tonkotsu ramen
322,01-05-2017,3551107063769063,1,burnt garlic tonkotsu ramen
323,01-05-2017,1503405253874829,1,spicy miso ramen
324,01-05-2017,1503405253874829,1,spicy miso ramen
325,01-05-2017,2348482546018586,1,nagomi shoyu
326,01-05-2017,2348482546018586,1,nagomi shoyu
327,01-05-2017,2416581889869256,1,miso crab ramen
328,01-05-2017,2416581889869256,1,miso crab ramen
329,01-05-2017,8760254072781879,1,vegetarian spicy miso
330,01-05-2017,8760254072781879,1,vegetarian spicy miso
331,01-05-2017,1179496643291986,1,vegetarian spicy miso
332,01-05-2017,1179496643291986,1,vegetarian spicy miso
333,01-05-2017,3234392962867072,3,truffle butter ramen
334,01-05-2017,3234392962867072,3,truffle butter ramen
335,01-05-2017,500473441322594,1,spicy miso ramen
336,01-05-2017,500473441322594,1,spicy miso ramen
337,01-05-2017,2420500823284550,1,miso crab ramen
338,01-05-2017,2420500823284550,1,miso crab ramen
339,01-05-2017,8498332637193157,1,truffle butter ramen
340,01-05-2017,8498332637193157,1,truffle butter ramen
341,01-06-2017,2420170768917871,1,vegetarian spicy miso
342,01-06-2017,2420170768917871,1,vegetarian spicy miso
343,01-06-2017,4610371284888527,1,soft-shell miso crab ramen
344,01-06-2017,4610371284888527,1,soft-shell miso crab ramen
345,01-06-2017,6022930393777707,1,tori paitan ramen
346,01-06-2017,6022930393777707,1,tori paitan ramen
347,01-06-2017,798915759110512,1,soft-shell miso crab ramen
348,01-06-2017,798915759110512,1,soft-shell miso crab ramen
349,01-06-2017,1749213742434247,1,tori paitan ramen
350,01-06-2017,1749213742434247,1,tori paitan ramen
351,01-06-2017,3773133438158429,1,spicy miso ramen
352,01-06-2017,3773133438158429,1,spicy miso ramen
353,01-06-2017,5078481637501285,1,tori paitan ramen
354,01-06-2017,5078481637501285,1,tori paitan ramen
355,01-06-2017,8298634699596298,3,truffle butter ramen
356,01-06-2017,8298634699596298,3,truffle butter ramen
357,01-07-2017,4471864634927104,4,vegetarian curry + king trumpet mushroom ramen
358,01-07-2017,4471864634927104,4,vegetarian curry + king trumpet mushroom ramen
359,01-07-2017,3197256556204126,1,burnt garlic tonkotsu ramen
360,01-07-2017,3197256556204126,1,burnt garlic tonkotsu ramen
361,01-07-2017,2339486488770840,1,nagomi shoyu
362,01-07-2017,2339486488770840,1,nagomi shoyu
363,01-07-2017,4930922622247022,1,nagomi shoyu
364,01-07-2017,4930922622247022,1,nagomi shoyu
365,01-07-2017,8126524820127686,1,nagomi shoyu
366,01-07-2017,8126524820127686,1,nagomi shoyu
367,01-07-2017,4663118568588855,1,tonkotsu ramen
368,01-07-2017,4663118568588855,1,tonkotsu ramen
369,01-07-2017,9259996515647695,1,tori paitan ramen
370,01-07-2017,9259996515647695,1,tori paitan ramen
371,01-07-2017,6879046123027490,1,burnt garlic tonkotsu ramen
372,01-07-2017,6879046123027490,1,burnt garlic tonkotsu ramen
373,01-07-2017,9184066722256890,1,miso crab ramen
374,01-07-2017,9184066722256890,1,miso crab ramen
375,01-07-2017,3811081668655537,1,miso crab ramen
376,01-07-2017,3811081668655537,1,miso crab ramen
377,01-07-2017,5404089348330699,1,truffle butter ramen
378,01-07-2017,5404089348330699,1,truffle butter ramen
379,01-07-2017,5569257167995465,1,truffle butter ramen
380,01-07-2017,5569257167995465,1,truffle butter ramen
381,01-07-2017,3971413827123654,2,nagomi shoyu
382,01-07-2017,3971413827123654,2,nagomi shoyu
383,01-07-2017,3999280888874250,1,tori paitan ramen
384,01-07-2017,3999280888874250,1,tori paitan ramen
385,01-07-2017,1762341044426627,1,truffle butter ramen
386,01-07-2017,1762341044426627,1,truffle butter ramen
387,01-07-2017,9944029735522232,1,vegetarian curry + king trumpet mushroom ramen
388,01-07-2017,9944029735522232,1,vegetarian curry + king trumpet mushroom ramen
389,01-07-2017,9224672087361827,1,vegetarian curry + king trumpet mushroom ramen
390,01-07-2017,9224672087361827,1,vegetarian curry + king trumpet mushroom ramen
391,01-07-2017,7797958909279554,1,tori paitan ramen
392,01-07-2017,7797958909279554,1,tori paitan ramen
393,01-07-2017,303341169122264,1,nagomi shoyu
394,01-07-2017,303341169122264,1,nagomi shoyu
395,01-07-2017,9481021166671712,1,miso crab ramen
396,01-07-2017,9481021166671712,1,miso crab ramen
397,01-07-2017,1917769241955572,1,miso crab ramen
398,01-07-2017,1917769241955572,1,miso crab ramen
399,01-07-2017,5608189372260434,1,soft-shell miso crab ramen
400,01-07-2017,5608189372260434,1,soft-shell miso crab ramen
401,01-07-2017,9290905676106622,1,miso crab ramen
402,01-07-2017,9290905676106622,1,miso crab ramen
403,01-07-2017,3619930289590586,1,tonkotsu ramen
404,01-07-2017,3619930289590586,1,tonkotsu ramen
405,01-07-2017,367238870902444,1,vegetarian spicy miso
406,01-07-2017,367238870902444,1,vegetarian spicy miso
407,01-07-2017,7432803359402093,1,truffle butter ramen
408,01-07-2017,7432803359402093,1,truffle butter ramen
409,01-07-2017,296536442869247,1,vegetarian curry + king trumpet mushroom ramen
410,01-07-2017,296536442869247,1,vegetarian curry + king trumpet mushroom ramen
411,01-07-2017,2819506294634132,1,nagomi shoyu
412,01-07-2017,2819506294634132,1,nagomi shoyu
413,01-07-2017,6235246793141638,1,tonkotsu ramen
414,01-07-2017,6235246793141638,1,tonkotsu ramen
415,01-07-2017,3338819916842082,1,soft-shell miso crab ramen
416,01-07-2017,3338819916842082,1,soft-shell miso crab ramen
417,01-07-2017,1279155949955364,1,miso crab ramen
418,01-07-2017,1279155949955364,1,miso crab ramen
419,01-07-2017,2911108890663835,2,nagomi shoyu
420,01-07-2017,2911108890663835,2,nagomi shoyu
421,01-07-2017,1884729350181571,3,vegetarian spicy miso
422,01-07-2017,1884729350181571,3,vegetarian spicy miso
423,01-07-2017,4901020442797915,1,tonkotsu ramen
424,01-07-2017,4901020442797915,1,tonkotsu ramen
425,01-07-2017,9918534130374799,1,soft-shell miso crab ramen
426,01-07-2017,9918534130374799,1,soft-shell miso crab ramen
427,01-07-2017,7712655732262235,1,tori paitan ramen
428,01-07-2017,7712655732262235,1,tori paitan ramen
429,01-07-2017,3775516457972453,1,burnt garlic tonkotsu ramen
430,01-07-2017,3775516457972453,1,burnt garlic tonkotsu ramen
431,01-07-2017,4676446381959489,1,nagomi shoyu
432,01-07-2017,4676446381959489,1,nagomi shoyu
433,01-07-2017,5830846485888617,1,vegetarian curry + king trumpet mushroom ramen
434,01-07-2017,5830846485888617,1,vegetarian curry + king trumpet mushroom ramen
435,01-07-2017,5209621822868437,1,soft-shell miso crab ramen
436,01-07-2017,5209621822868437,1,soft-shell miso crab ramen
437,01-07-2017,9500929261575442,1,miso crab ramen
438,01-07-2017,9500929261575442,1,miso crab ramen
439,01-07-2017,5723288422900964,1,burnt garlic tonkotsu ramen
440,01-07-2017,5723288422900964,1,burnt garlic tonkotsu ramen
441,01-07-2017,5188622016494303,1,vegetarian spicy miso
442,01-07-2017,5188622016494303,1,vegetarian spicy miso
443,01-07-2017,46334490822198,1,tori paitan ramen
444,01-07-2017,46334490822198,1,tori paitan ramen
445,01-07-2017,3073740935204284,1,vegetarian curry + king trumpet mushroom ramen
446,01-07-2017,3073740935204284,1,vegetarian curry + king trumpet mushroom ramen
447,01-07-2017,7600190208376073,2,tonkotsu ramen
448,01-07-2017,7600190208376073,2,tonkotsu ramen
449,01-07-2017,6538352839945082,1,vegetarian curry + king trumpet mushroom ramen
450,01-07-2017,6538352839945082,1,vegetarian curry + king trumpet mushroom ramen
451,01-07-2017,9304151421438757,1,burnt garlic tonkotsu ramen
452,01-07-2017,9304151421438757,1,burnt garlic tonkotsu ramen
453,01-07-2017,2904529533511534,2,spicy miso ramen
454,01-07-2017,2904529533511534,2,spicy miso ramen
455,01-07-2017,8073767315190685,1,tori paitan ramen
456,01-07-2017,8073767315190685,1,tori paitan ramen
457,01-07-2017,8453365680854710,1,truffle butter ramen
458,01-07-2017,8453365680854710,1,truffle butter ramen
459,01-07-2017,1392199074189254,1,tonkotsu ramen
460,01-07-2017,1392199074189254,1,tonkotsu ramen
461,01-07-2017,8896200314000996,2,vegetarian spicy miso
462,01-07-2017,8896200314000996,2,vegetarian spicy miso
463,01-07-2017,4311882382289062,1,soft-shell miso crab ramen
464,01-07-2017,4311882382289062,1,soft-shell miso crab ramen
465,01-07-2017,9140846355251761,1,miso crab ramen
466,01-07-2017,9140846355251761,1,miso crab ramen
467,01-07-2017,9189335414318000,1,soft-shell miso crab ramen
468,01-07-2017,9189335414318000,1,soft-shell miso crab ramen
